Platform,Global_Sales,EU_Sales,Release_Date
Wii,82.74,29.02,mid
NES,40.24,3.58,older
Wii,35.82,12.88,mid
Wii,33,11.01,mid
GB,31.37,8.89,older
GB,30.26,2.26,older
DS,30.01,9.23,mid
Wii,29.02,9.2,mid
Wii,28.62,7.06,mid
NES,28.31,0.63,older
DS,24.76,11,mid
DS,23.42,7.57,mid
GB,23.1,6.18,older
Wii,22.72,8.03,mid
Wii,22,8.59,mid
X360,21.82,4.94,newer
PS3,21.4,9.27,newer
PS2,20.81,0.4,mid
SNES,20.61,3.75,older
DS,20.22,9.26,mid
DS,18.36,4.52,mid
GB,18.14,2.71,older
NES,17.28,3.44,older
X360,16.38,5.31,newer
PS2,16.15,5.49,mid
GBA,15.85,3.9,mid
DS,15.32,3.28,newer
DS,15.3,5.36,mid
PS2,14.98,5.09,mid
X360,14.76,4.28,newer
GB,14.64,5.04,older
X360,14.64,3.73,newer
3DS,14.35,4.05,newer
PS4,14.24,5.81,newer
PS3,14.03,5.88,newer
X360,13.73,4.3,newer
X360,13.51,3.63,mid
PS3,13.46,5.82,newer
PS2,13.1,4.51,mid
Wii,13.04,2.61,mid
PS3,12.73,4.44,newer
DS,12.27,3.52,mid
3DS,12.21,3.91,newer
X360,12.14,2.83,mid
PS4,11.98,5.81,newer
DS,11.9,2.77,mid
N64,11.89,2.85,older
PS2,11.66,0.01,mid
Wii,11.52,3.4,mid
3DS,11.33,3.37,newer
GB,11.18,2.04,older
X360,11.02,3.1,mid
PS,10.95,3.87,older
3DS,10.79,2.99,newer
PS3,10.77,4.88,newer
PS3,10.69,3.69,mid
PS3,10.57,3.76,mid
SNES,10.55,2.15,older
GBA,10.49,2.65,mid
DS,10.42,3.11,mid
Wii,10.26,3.15,newer
X360,10.21,2.63,newer
X360,9.88,1.98,newer
N64,9.87,1.94,older
3DS,9.82,3.07,newer
X360,9.76,2.36,newer
PS,9.72,2.47,older
PS3,9.59,3.73,newer
Wii,9.52,2.89,newer
PS,9.49,3.42,older
X360,9.32,2.38,mid
SNES,9.3,1.71,older
X360,9.2,2.83,newer
3DS,9.09,2.32,newer
DS,9.02,1.88,mid
X360,8.84,2.86,newer
SNES,8.76,1.24,older
PS4,8.49,6.06,newer
Wii,8.49,3.53,newer
XB,8.49,1.53,mid
Wii,8.42,2.3,mid
DS,8.33,1.86,newer
PS3,8.24,5.05,newer
PC,8.11,6.42,mid
N64,8.09,2.01,older
Wii,8.06,3.9,mid
PS2,8.05,2.07,mid
PS,7.86,1.72,older
DS,7.84,1.78,mid
"""2600""",7.81,0.45,older
PSP,7.72,2.83,mid
Wii,7.69,2.42,newer
PS4,7.67,3.29,newer
PS4,7.6,3.3,newer
N64,7.6,1.89,older
PS,7.58,2.17,older
NES,7.46,1.18,older
3DS,7.45,1.35,newer
X360,7.37,1.9,mid
X360,7.34,2.13,newer
